λf,share_teachers_female,κ,share_teachers_male,γ,p90_p10_ω_teachers,θ,p90_p10_w_other,η,α
0.475,0.0561,1.7,0.0216,0.83,8.53,1.476,9.88,0.103,1.0
0.4,0.0731,1.7,0.0212,0.83,8.81,1.476,9.86,0.103,1.0
0.428,0.0662,1.7,0.0213,0.83,8.8,1.476,9.87,0.103,1.0
0.43,0.0651,1.69,0.0211,0.83,8.78,1.476,9.87,0.103,1.0
0.426,0.0662,1.69,0.0211,0.83,8.81,1.476,9.87,0.103,1.0
0.4245,0.0666,1.69,0.0211,0.83,8.83,1.476,9.87,0.103,1.0
0.423,0.0671,1.69,0.0211,0.83,8.84,1.476,9.86,0.103,1.0
0.423,0.0673,1.69,0.0211,0.83,8.85,1.476,9.86,0.103,1.0
0.423,0.0676,1.69,0.0211,0.83,8.86,1.476,9.86,0.103,1.0
0.423,0.0781,1.69,0.0215,0.83,8.95,1.476,9.86,0.103,1.0
0.423,0.086,1.69,0.0217,0.83,8.86,1.476,9.89,0.103,1.0
0.423,0.0925,1.69,0.0212,0.83,9.26,1.476,9.89,0.103,1.0
0.423,0.0974,1.69,0.0215,0.83,9.14,1.476,9.89,0.103,1.0
0.423,0.1019,1.69,0.0208,0.83,9.86,1.476,9.89,0.103,1.0
0.423,0.101,1.69,0.02,0.83,9.7,1.476,9.88,0.103,1.0
0.423,0.0947,1.69,0.019,0.83,9.82,1.476,9.87,0.103,1.0
0.423,0.0871,1.69,0.0178,0.83,9.81,1.476,9.87,0.103,1.0
0.423,0.0847,1.69,0.0163,0.83,9.64,1.476,9.88,0.103,1.0
0.423,0.0673,1.69,0.0211,0.83,8.85,1.476,9.86,0.103,1.0
0.423,0.0918,1.69,0.0206,0.83,9.27,1.476,9.91,0.103,1.0
0.423,0.092,1.69,0.0206,0.83,9.28,1.476,9.91,0.103,1.0
0.423,0.0921,1.69,0.0206,0.83,9.29,1.476,9.91,0.103,1.0
0.423,0.0917,1.69,0.0204,0.83,9.38,1.476,9.92,0.103,1.0
0.423,0.0917,1.69,0.02,0.83,9.56,1.476,9.92,0.103,1.0
0.423,0.0905,1.69,0.0194,0.83,9.76,1.476,9.88,0.103,1.0
0.423,0.0862,1.69,0.0187,0.83,9.26,1.476,9.83,0.103,1.0
0.423,0.0833,1.69,0.0179,0.83,9.28,1.476,9.81,0.103,1.0
0.423,0.0808,1.69,0.0173,0.83,9.31,1.476,9.81,0.103,1.0
0.45,0.0733,1.69,0.0173,0.83,9.21,1.476,9.82,0.103,1.0
0.5,0.0632,1.71,0.0178,0.83,8.99,1.476,9.83,0.103,1.0
0.515,0.0629,1.76,0.0186,0.83,8.92,1.476,9.83,0.103,1.0
0.55,0.0586,1.8,0.0194,0.83,8.76,1.476,9.84,0.103,1.0
0.55,0.0586,1.8,0.0194,0.83,8.76,1.476,9.84,0.103,1.0
0.55,0.0604,1.84,0.0201,0.83,8.76,1.476,9.83,0.103,1.0
0.54,0.0603,1.8,0.0194,0.83,8.81,1.476,9.83,0.103,1.0
0.54,0.0598,1.79,0.0192,0.83,8.81,1.476,9.84,0.103,1.0
0.53,0.0611,1.78,0.019,0.83,8.85,1.476,9.83,0.103,1.0
0.54,0.0593,1.78,0.0191,0.83,8.81,1.476,9.84,0.103,1.0
0.537,0.0599,1.78,0.0191,0.83,8.82,1.476,9.84,0.103,1.0
0.895,0.0317,2.015,0.0243,0.83,7.59,1.476,9.86,0.103,1.0
0.537,0.0599,1.78,0.0191,0.83,8.82,1.476,9.84,0.103,1.0
0.537,0.0599,1.78,0.0191,0.83,8.82,1.476,9.84,0.103,1.0
0.537,0.0599,1.78,0.0191,0.83,8.82,1.476,9.84,0.103,1.0
0.537,0.0599,1.78,0.0191,0.83,8.82,1.476,9.84,0.103,1.0
0.537,0.0601,1.538,0.0191,0.83,8.82,1.476,9.84,0.103,1.0
1.034,0.0162,0.19,0.013,0.83,7.1,1.476,9.96,0.103,1.0
1.034,0.0444,0.25,0.0362,0.83,7.5,1.476,9.89,0.103,1.0
0.85,0.0473,0.21,0.0274,0.83,7.79,1.476,9.9,0.103,1.0
0.8,0.0452,0.19,0.0235,0.83,7.91,1.476,9.91,0.103,1.0
0.7,0.0222,0.1,0.0088,0.83,7.94,1.476,9.95,0.103,1.0
0.7,0.0477,0.17,0.0196,0.83,8.27,1.476,9.91,0.103,1.0
0.55,0.0692,0.169,0.0188,0.83,9.02,1.476,9.88,0.103,1.0
0.61,0.059,0.1695,0.0192,0.83,8.68,1.476,9.89,0.103,1.0
0.605,0.0596,0.1692,0.0191,0.83,8.71,1.476,9.89,0.103,1.0
0.602,0.0601,0.1691,0.0191,0.83,8.73,1.476,9.89,0.103,1.0
0.602,0.06,0.169,0.019,0.83,8.73,1.476,9.89,0.103,1.0
0.602,0.06,0.169,0.019,0.83,8.73,1.476,9.89,0.103,1.0
0.602,0.06,0.169,0.019,0.83,8.73,1.476,9.89,0.103,1.0
0.602,0.06,0.169,0.019,0.83,8.73,1.476,9.89,0.103,1.0
0.602,0.06,0.169,0.019,0.83,8.73,1.476,9.89,0.103,1.0
0.602,0.06,0.169,0.019,0.83,8.73,1.476,9.89,0.103,1.0
0.602,0.0587,0.169,0.0188,0.83,8.47,1.476,9.83,0.103,1.0
0.602,0.0591,0.169,0.0189,0.83,8.47,1.476,9.83,0.103,1.0
0.602,0.0594,0.169,0.019,0.83,8.47,1.476,9.83,0.103,1.0
0.602,0.0595,0.169,0.019,0.83,8.47,1.476,9.83,0.103,1.0
0.602,0.0595,0.169,0.019,0.83,8.47,1.476,9.83,0.103,1.0
0.602,0.0566,0.181,0.0213,0.83,8.38,1.476,9.8,0.103,1.0
0.602,0.0486,0.181,0.0215,0.83,8.01,1.476,9.7,0.103,1.0
0.602,0.0418,0.181,0.0218,0.83,7.7,1.476,9.59,0.103,1.0
0.602,0.0386,0.181,0.0219,0.83,7.55,1.476,9.45,0.103,1.0
0.602,0.0378,0.181,0.022,0.83,7.52,1.476,9.41,0.103,1.0
0.602,0.0345,0.17,0.02,0.83,7.48,1.476,9.42,0.103,1.0
0.602,0.0331,0.165,0.0192,0.83,7.45,1.476,9.42,0.103,1.0
0.602,0.0328,0.164,0.019,0.83,7.45,1.476,9.42,0.103,1.0
0.879,0.0208,0.184,0.0236,0.83,7.06,1.476,9.43,0.103,1.0
0.879,0.0185,0.17,0.0211,0.83,6.98,1.476,9.43,0.103,1.0
0.879,0.0154,0.15,0.0175,0.83,6.84,1.476,9.44,0.103,1.0
0.879,0.0164,0.157,0.0188,0.83,6.89,1.476,9.44,0.103,1.0
0.879,0.0166,0.158,0.0189,0.83,6.9,1.476,9.44,0.103,1.0
